,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author,publication_year
598238,313806-2,Calceolaria cavanillesii,Calceolaria cavanillesii Phil.,Calceolariaceae,Species,2691028,313806-2,Species,Accepted,Calceolariaceae,,Calceolaria,,cavanillesii,,,,Phil.,,Anales Univ. Chile, 43: 532,(1873),Calceolaria cavanillesii,Phil.,2691028,,,,2690889,313806-2,,N,Calceolaria cavanillesii,Calceolaria cavanillesii Phil.,313806-2,2691028,Calceolaria cavanillesii Phil.,Calceolaria cavanillesii Phil.,Calceolaria cavanillesii Phil.,C.,C. cavanillesii,C. cavanillesii Phil.,C. cavanillesii Phil.,C. cavanillesii Phil.,1873
598003,800252-1,Calceolaria crenata,Calceolaria crenata Lam.,Calceolariaceae,Species,2691084,800252-1,Species,Accepted,Calceolariaceae,,Calceolaria,,crenata,,,,Lam.,,Encycl., 1: 556,(1785),Calceolaria crenata,Lam.,2691084,,,,2690889,800252-1,,N,Calceolaria crenata,Calceolaria crenata Lam.,800252-1,2691084,Calceolaria crenata Lam.,Calceolaria crenata Lam.,Calceolaria crenata Lam.,C.,C. crenata,C. crenata Lam.,C. crenata Lam.,C. crenata Lam.,1785
602401,273715-2,Calceolaria deflexa,Calceolaria deflexa Ruiz & Pav.,Calceolariaceae,Species,2691109,273715-2,Species,Accepted,Calceolariaceae,,Calceolaria,,deflexa,,,,Ruiz & Pav.,,Fl. Peruv., 1: 18,(1798),Calceolaria deflexa,Ruiz & Pav.,2691109,,,,2690889,273715-2,,N,Calceolaria deflexa,Calceolaria deflexa Ruiz & Pav.,273715-2,2691109,Calceolaria deflexa Ruiz & Pav.,Calceolaria deflexa Ruiz & Pav.,Calceolaria deflexa Ruiz & Pav.,C.,C. deflexa,C. deflexa Ruiz & Pav.,C. deflexa Ruiz & Pav.,C. deflexa Ruiz & Pav.,1798
591320,800307-1,Calceolaria ferruginea,Calceolaria ferruginea Cav.,Calceolariaceae,Species,2691160,800307-1,Species,Accepted,Calceolariaceae,,Calceolaria,,ferruginea,,,,Cav.,,Icon., 5: 27,(1799),Calceolaria ferruginea,Cav.,2691160,,,,2690889,800307-1,,N,Calceolaria ferruginea,Calceolaria ferruginea Cav.,800307-1,2691160,Calceolaria ferruginea Cav.,Calceolaria ferruginea Cav.,Calceolaria ferruginea Cav.,C.,C. ferruginea,C. ferruginea Cav.,C. ferruginea Cav.,C. ferruginea Cav.,1799
592134,41379-2,Calceolaria glandulosa,Calceolaria glandulosa Poepp. ex Benth.,Calceolariaceae,Species,2691206,41379-2,Species,Accepted,Calceolariaceae,,Calceolaria,,glandulosa,,,,Poepp. ex Benth.,A.P.de Candolle,Prodr., 10: 210,(1846),Calceolaria glandulosa,Poepp. ex Benth.,2691206,,,,2690889,41379-2,,N,Calceolaria glandulosa,Calceolaria glandulosa Poepp. ex Benth.,41379-2,2691206,Calceolaria glandulosa Poepp. ex Benth.,Calceolaria glandulosa Poepp. ex Benth.,Calceolaria glandulosa Poepp. ex Benth.,C.,C. glandulosa,C. glandulosa Poepp. ex Benth.,C. glandulosa Poepp. ex Benth.,C. glandulosa Poepp. ex Benth.,1846
598241,273740-2,Calceolaria heterophylla,Calceolaria heterophylla Ruiz & Pav.,Calceolariaceae,Species,2691243,273740-2,Species,Accepted,Calceolariaceae,,Calceolaria,,heterophylla,,,,Ruiz & Pav.,,Fl. Peruv., 1: 16,(1798),Calceolaria heterophylla,Ruiz & Pav.,2691243,,,,2690889,273740-2,,N,Calceolaria heterophylla,Calceolaria heterophylla Ruiz & Pav.,273740-2,2691243,Calceolaria heterophylla Ruiz & Pav.,Calceolaria heterophylla Ruiz & Pav.,Calceolaria heterophylla Ruiz & Pav.,C.,C. heterophylla,C. heterophylla Ruiz & Pav.,C. heterophylla Ruiz & Pav.,C. heterophylla Ruiz & Pav.,1798
601298,800387-1,Calceolaria hypoleuca,Calceolaria hypoleuca Meyen,Calceolariaceae,Species,2691264,800387-1,Species,Accepted,Calceolariaceae,,Calceolaria,,hypoleuca,,,,Meyen,,Observ. Bot., 1: 224,(1834),Calceolaria hypoleuca,Meyen,2691264,,,,2690889,800387-1,,N,Calceolaria hypoleuca,Calceolaria hypoleuca Meyen,800387-1,2691264,Calceolaria hypoleuca Meyen,Calceolaria hypoleuca Meyen,Calceolaria hypoleuca Meyen,C.,C. hypoleuca,C. hypoleuca Meyen,C. hypoleuca Meyen,C. hypoleuca Meyen,1834
599381,41427-2,Calceolaria integrifolia,Calceolaria integrifolia L.,Calceolariaceae,Species,2691277,41427-2,Species,Accepted,Calceolariaceae,,Calceolaria,,integrifolia,,,,L.,J.A.Murray (ed.),"Syst. Veg., ed. 13.", 2: 61,(1770),Calceolaria integrifolia,L.,2691277,,,,2690889,41427-2,,N,Calceolaria integrifolia,Calceolaria integrifolia L.,41427-2,2691277,Calceolaria integrifolia L.,Calceolaria integrifolia L.,Calceolaria integrifolia L.,C.,C. integrifolia,C. integrifolia L.,C. integrifolia L.,C. integrifolia L.,1770
600644,800409-1,Calceolaria lanata,Calceolaria lanata Kunth,Calceolariaceae,Species,2691297,800409-1,Species,Accepted,Calceolariaceae,,Calceolaria,,lanata,,,,Kunth,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Nov. Gen. Sp., 2: 383,(1818),Calceolaria lanata,Kunth,2691297,,,,2690889,800409-1,,N,Calceolaria lanata,Calceolaria lanata Kunth,800409-1,2691297,Calceolaria lanata Kunth,Calceolaria lanata Kunth,Calceolaria lanata Kunth,C.,C. lanata,C. lanata Kunth,C. lanata Kunth,C. lanata Kunth,1818
593410,41511-2,Calceolaria nivalis,Calceolaria nivalis Kunth,Calceolariaceae,Species,2691405,41511-2,Species,Accepted,Calceolariaceae,,Calceolaria,,nivalis,,,,Kunth,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Nov. Gen. Sp., 2: 381,(1818),Calceolaria nivalis,Kunth,2691405,,,,2690889,41511-2,,N,Calceolaria nivalis,Calceolaria nivalis Kunth,41511-2,2691405,Calceolaria nivalis Kunth,Calceolaria nivalis Kunth,Calceolaria nivalis Kunth,C.,C. nivalis,C. nivalis Kunth,C. nivalis Kunth,C. nivalis Kunth,1818
599879,41513-2,Calceolaria nudicaulis,Calceolaria nudicaulis Benth.,Calceolariaceae,Species,2691410,41513-2,Species,Accepted,Calceolariaceae,,Calceolaria,,nudicaulis,,,,Benth.,A.P.de Candolle,Prodr., 10: 208,(1846),Calceolaria nudicaulis,Benth.,2691410,,,,2690889,41513-2,,N,Calceolaria nudicaulis,Calceolaria nudicaulis Benth.,41513-2,2691410,Calceolaria nudicaulis Benth.,Calceolaria nudicaulis Benth.,Calceolaria nudicaulis Benth.,C.,C. nudicaulis,C. nudicaulis Benth.,C. nudicaulis Benth.,C. nudicaulis Benth.,1846
597730,41537-2,Calceolaria paralia,Calceolaria paralia Cav.,Calceolariaceae,Species,2691447,41537-2,Species,Accepted,Calceolariaceae,,Calceolaria,,paralia,,,,Cav.,,Icon., 5: 29,(1799),Calceolaria paralia,Cav.,2691447,,,,2690889,41537-2,,N,Calceolaria paralia,Calceolaria paralia Cav.,41537-2,2691447,Calceolaria paralia Cav.,Calceolaria paralia Cav.,Calceolaria paralia Cav.,C.,C. paralia,C. paralia Cav.,C. paralia Cav.,C. paralia Cav.,1799
601436,273779-2,Calceolaria parvifolia,Calceolaria parvifolia Wedd.,Calceolariaceae,Species,2691455,273779-2,Species,Accepted,Calceolariaceae,,Calceolaria,,parvifolia,,,,Wedd.,,Chlor. Andina, 2: 134,(1860),Calceolaria parvifolia,Wedd.,2691455,,,,2690889,273779-2,,N,Calceolaria parvifolia,Calceolaria parvifolia Wedd.,273779-2,2691455,Calceolaria parvifolia Wedd.,Calceolaria parvifolia Wedd.,Calceolaria parvifolia Wedd.,C.,C. parvifolia,C. parvifolia Wedd.,C. parvifolia Wedd.,C. parvifolia Wedd.,1860
595071,800535-1,Calceolaria perfoliata,Calceolaria perfoliata L.f.,Calceolariaceae,Species,2691471,800535-1,Species,Accepted,Calceolariaceae,,Calceolaria,,perfoliata,,,,L.f.,,Suppl. Pl.,: 86,(1782),Calceolaria perfoliata,L.f.,2691471,,,,2690889,800535-1,,N,Calceolaria perfoliata,Calceolaria perfoliata L.f.,800535-1,2691471,Calceolaria perfoliata L.f.,Calceolaria perfoliata L.f.,Calceolaria perfoliata L.f.,C.,C. perfoliata,C. perfoliata L.f.,C. perfoliata L.f.,C. perfoliata L.f.,1782
593794,800545-1,Calceolaria pinnata,Calceolaria pinnata L.,Calceolariaceae,Species,2691488,800545-1,Species,Accepted,Calceolariaceae,,Calceolaria,,pinnata,,,,L.,,Mant. Pl., 2: 171,(1771),Calceolaria pinnata,L.,2691488,,,,2690889,800545-1,,N,Calceolaria pinnata,Calceolaria pinnata L.,800545-1,2691488,Calceolaria pinnata L.,Calceolaria pinnata L.,Calceolaria pinnata L.,C.,C. pinnata,C. pinnata L.,C. pinnata L.,C. pinnata L.,1771
598356,41672-2,Calceolaria stricta,Calceolaria stricta Kunth,Calceolariaceae,Species,2691632,41672-2,Species,Accepted,Calceolariaceae,,Calceolaria,,stricta,,,,Kunth,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Nov. Gen. Sp., 2: 380,(1818),Calceolaria stricta,Kunth,2691632,,,,2690889,41672-2,,N,Calceolaria stricta,Calceolaria stricta Kunth,41672-2,2691632,Calceolaria stricta Kunth,Calceolaria stricta Kunth,Calceolaria stricta Kunth,C.,C. stricta,C. stricta Kunth,C. stricta Kunth,C. stricta Kunth,1818
603365,320821-2,Calceolaria uniflora,Calceolaria uniflora Lam.,Calceolariaceae,Species,2691690,320821-2,Species,Accepted,Calceolariaceae,,Calceolaria,,uniflora,,,,Lam.,,Tabl. Encycl., 1: 52,(1791),Calceolaria uniflora,Lam.,2691690,,,,2690889,320821-2,,N,Calceolaria uniflora,Calceolaria uniflora Lam.,320821-2,2691690,Calceolaria uniflora Lam.,Calceolaria uniflora Lam.,Calceolaria uniflora Lam.,C.,C. uniflora,C. uniflora Lam.,C. uniflora Lam.,C. uniflora Lam.,1791
687781,41874-2,Calea crenata,Calea crenata Chodat,Asteraceae,Species,3118243,41874-2,Species,Accepted,Asteraceae,,Calea,,crenata,,,,Chodat,,Bull. Herb. Boissier,", sér. 2, 3: 726",(1903),Calea crenata,Chodat,3118243,,,,3133516,41874-2,,N,Calea crenata,Calea crenata Chodat,41874-2,3118243,Calea crenata Chodat,Calea crenata Chodat,Calea crenata Chodat,C.,C. crenata,C. crenata Chodat,C. crenata Chodat,C. crenata Chodat,1903
110722,273824-2,Calea fruticosa,"Calea fruticosa (Gardner) Urbatsch, Zlotsky & Pruski",Asteraceae,Species,3118267,273824-2,Species,Accepted,Asteraceae,,Calea,,fruticosa,,,Gardner,"Urbatsch, Zlotsky & Pruski",,Syst. Bot., 11: 506,(1986),Calea fruticosa,"(Gardner) Urbatsch, Zlotsky & Pruski",3118267,3118263,,,3133516,273824-2,,N,Calea fruticosa,"Calea fruticosa (Gardner) Urbatsch, Zlotsky & Pruski",273824-2,3118267,"Calea fruticosa (Gardner) Urbatsch, Zlotsky & Pruski","Calea fruticosa Gardner Urbatsch, Zlotsky & Pruski","Calea fruticosa Urbatsch, Zlotsky & Pruski",C.,C. fruticosa,"C. fruticosa (Gardner) Urbatsch, Zlotsky & Pruski","C. fruticosa Gardner Urbatsch, Zlotsky & Pruski","C. fruticosa Urbatsch, Zlotsky & Pruski",1986
687472,187669-1,Calea longifolia,Calea longifolia Baker,Asteraceae,Species,3118304,187669-1,Species,Accepted,Asteraceae,,Calea,,longifolia,,,,Baker,C.F.P.von Martius & auct. suc. (eds.),Fl. Bras., 6(3): 260,(1884),Calea longifolia,Baker,3118304,,,,3133516,187669-1,,N,Calea longifolia,Calea longifolia Baker,187669-1,3118304,Calea longifolia Baker,Calea longifolia Baker,Calea longifolia Baker,C.,C. longifolia,C. longifolia Baker,C. longifolia Baker,C. longifolia Baker,1884
683270,273833-2,Calea nitida,Calea nitida Less.,Asteraceae,Species,3118336,273833-2,Species,Accepted,Asteraceae,,Calea,,nitida,,,,Less.,,Linnaea, 5: 158,(1830),Calea nitida,Less.,3118336,,,,3133516,273833-2,,N,Calea nitida,Calea nitida Less.,273833-2,3118336,Calea nitida Less.,Calea nitida Less.,Calea nitida Less.,C.,C. nitida,C. nitida Less.,C. nitida Less.,C. nitida Less.,1830
683578,187757-1,Calea serrata,Calea serrata Less.,Asteraceae,Species,3118389,187757-1,Species,Accepted,Asteraceae,,Calea,,serrata,,,,Less.,,Linnaea, 5: 158,(1830),Calea serrata,Less.,3118389,,,,3133516,187757-1,,N,Calea serrata,Calea serrata Less.,187757-1,3118389,Calea serrata Less.,Calea serrata Less.,Calea serrata Less.,C.,C. serrata,C. serrata Less.,C. serrata Less.,C. serrata Less.,1830
684585,187759-1,Calea sessiliflora,Calea sessiliflora Less.,Asteraceae,Species,3118392,187759-1,Species,Accepted,Asteraceae,,Calea,,sessiliflora,,,,Less.,,Linnaea, 5: 158,(1830),Calea sessiliflora,Less.,3118392,,,,3133516,187759-1,,N,Calea sessiliflora,Calea sessiliflora Less.,187759-1,3118392,Calea sessiliflora Less.,Calea sessiliflora Less.,Calea sessiliflora Less.,C.,C. sessiliflora,C. sessiliflora Less.,C. sessiliflora Less.,C. sessiliflora Less.,1830
682279,187778-1,Calea ternifolia,Calea ternifolia Kunth,Asteraceae,Species,2925874,187778-1,Species,Accepted,Asteraceae,,Calea,,ternifolia,,,,Kunth,"F.W.H.A.Humboldt, A.J.A.Bonpland & K.S.Kunth",Nov. Gen. Sp.,", ed. fol., 4: 231",(1818),Calea ternifolia,Kunth,2925874,,,,3133516,187778-1,,N,Calea ternifolia,Calea ternifolia Kunth,187778-1,2925874,Calea ternifolia Kunth,Calea ternifolia Kunth,Calea ternifolia Kunth,C.,C. ternifolia,C. ternifolia Kunth,C. ternifolia Kunth,C. ternifolia Kunth,1818
688851,42324-2,Calliandra tolimensis,Calliandra tolimensis Taub. ex Hieron.,Fabaceae,Species,2692354,42324-2,Species,Accepted,Fabaceae,,Calliandra,,tolimensis,,,,Taub. ex Hieron.,,Bot. Jahrb. Syst., 21: 314,(1895),Calliandra tolimensis,Taub. ex Hieron.,2692354,,,,2691940,42324-2,,Y,Calliandra tolimensis,Calliandra tolimensis Taub. ex Hieron.,42324-2,2692354,Calliandra tolimensis Taub. ex Hieron.,Calliandra tolimensis Taub. ex Hieron.,Calliandra tolimensis Taub. ex Hieron.,C.,C. tolimensis,C. tolimensis Taub. ex Hieron.,C. tolimensis Taub. ex Hieron.,C. tolimensis Taub. ex Hieron.,1895
463310,861228-1,Callicarpa acuminata,Callicarpa acuminata Kunth,Lamiaceae,Species,30645,861228-1,Species,Accepted,Lamiaceae,,Callicarpa,,acuminata,,,,Kunth,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Nov. Gen. Sp., 2: 252,(1818),Callicarpa acuminata,Kunth,30645,,,,30643,861228-1,,Y,Callicarpa acuminata,Callicarpa acuminata Kunth,861228-1,30645,Callicarpa acuminata Kunth,Callicarpa acuminata Kunth,Callicarpa acuminata Kunth,C.,C. acuminata,C. acuminata Kunth,C. acuminata Kunth,C. acuminata Kunth,1818
483741,861266-1,Callicarpa bicolor,Callicarpa bicolor Juss.,Lamiaceae,Species,30684,861266-1,Species,Accepted,Lamiaceae,,Callicarpa,,bicolor,,,,Juss.,,Ann. Mus. Hist. Nat., 7: 77,(1806),Callicarpa bicolor,Juss.,30684,,,,30643,861266-1,,Y,Callicarpa bicolor,Callicarpa bicolor Juss.,861266-1,30684,Callicarpa bicolor Juss.,Callicarpa bicolor Juss.,Callicarpa bicolor Juss.,C.,C. bicolor,C. bicolor Juss.,C. bicolor Juss.,C. bicolor Juss.,1806
482849,861330-1,Callicarpa glabra,Callicarpa glabra Koidz.,Lamiaceae,Species,30777,861330-1,Species,Accepted,Lamiaceae,,Callicarpa,,glabra,,,,Koidz.,,Bot. Mag. (Tokyo), 32: 56,(1918),Callicarpa glabra,Koidz.,30777,,,,30643,861330-1,,Y,Callicarpa glabra,Callicarpa glabra Koidz.,861330-1,30777,Callicarpa glabra Koidz.,Callicarpa glabra Koidz.,Callicarpa glabra Koidz.,C.,C. glabra,C. glabra Koidz.,C. glabra Koidz.,C. glabra Koidz.,1918
467415,861358-1,Callicarpa kinabaluensis,Callicarpa kinabaluensis Bakh. & Heine,Lamiaceae,Species,30823,861358-1,Species,Accepted,Lamiaceae,,Callicarpa,,kinabaluensis,,,,Bakh. & Heine,,Feddes Repert. Spec. Nov. Regni Veg., 54: 246,(1951),Callicarpa kinabaluensis,Bakh. & Heine,30823,,,,30643,861358-1,,Y,Callicarpa kinabaluensis,Callicarpa kinabaluensis Bakh. & Heine,861358-1,30823,Callicarpa kinabaluensis Bakh. & Heine,Callicarpa kinabaluensis Bakh. & Heine,Callicarpa kinabaluensis Bakh. & Heine,C.,C. kinabaluensis,C. kinabaluensis Bakh. & Heine,C. kinabaluensis Bakh. & Heine,C. kinabaluensis Bakh. & Heine,1951
466690,42374-2,Callicarpa lancifolia,Callicarpa lancifolia Millsp.,Lamiaceae,Species,30839,42374-2,Species,Accepted,Lamiaceae,,Callicarpa,,lancifolia,,,,Millsp.,,"Publ. Field Columb. Mus., Bot. Ser.", 2: 181,(1906),Callicarpa lancifolia,Millsp.,30839,,,,30643,42374-2,,Y,Callicarpa lancifolia,Callicarpa lancifolia Millsp.,42374-2,30839,Callicarpa lancifolia Millsp.,Callicarpa lancifolia Millsp.,Callicarpa lancifolia Millsp.,C.,C. lancifolia,C. lancifolia Millsp.,C. lancifolia Millsp.,C. lancifolia Millsp.,1906
459806,861428-1,Callicarpa parvifolia,Callicarpa parvifolia Hook. & Arn.,Lamiaceae,Species,30914,861428-1,Species,Accepted,Lamiaceae,,Callicarpa,,parvifolia,,,,Hook. & Arn.,,Bot. Beechey Voy.,: 305,(1838),Callicarpa parvifolia,Hook. & Arn.,30914,,,,30643,861428-1,,Y,Callicarpa parvifolia,Callicarpa parvifolia Hook. & Arn.,861428-1,30914,Callicarpa parvifolia Hook. & Arn.,Callicarpa parvifolia Hook. & Arn.,Callicarpa parvifolia Hook. & Arn.,C.,C. parvifolia,C. parvifolia Hook. & Arn.,C. parvifolia Hook. & Arn.,C. parvifolia Hook. & Arn.,1838
464779,861458-1,Callicarpa reticulata,Callicarpa reticulata Sw.,Lamiaceae,Species,30951,861458-1,Species,Accepted,Lamiaceae,,Callicarpa,,reticulata,,,,Sw.,,Prodr. Veg. Ind. Occ.,: 31,(1788),Callicarpa reticulata,Sw.,30951,,,,30643,861458-1,,Y,Callicarpa reticulata,Callicarpa reticulata Sw.,861458-1,30951,Callicarpa reticulata Sw.,Callicarpa reticulata Sw.,Callicarpa reticulata Sw.,C.,C. reticulata,C. reticulata Sw.,C. reticulata Sw.,C. reticulata Sw.,1788
387786,861509-1,Callicarpa tomentosa,Callicarpa tomentosa (L.) L.,Lamiaceae,Species,31012,861509-1,Species,Accepted,Lamiaceae,,Callicarpa,,tomentosa,,,L.,L.,J.A.Murray,"Syst. Veg., ed. 13.",: 153,(1774),Callicarpa tomentosa,(L.) L.,31012,206994,,,30643,861509-1,,Y,Callicarpa tomentosa,Callicarpa tomentosa (L.) L.,861509-1,31012,Callicarpa tomentosa (L.) L.,Callicarpa tomentosa L. L.,Callicarpa tomentosa L.,C.,C. tomentosa,C. tomentosa (L.) L.,C. tomentosa L. L.,C. tomentosa L.,1774
482909,693356-1,Calligonum litwinowii,Calligonum litwinowii Drobow,Polygonaceae,Species,2692571,693356-1,Species,Accepted,Polygonaceae,,Calligonum,,litwinowii,,,,Drobow,,Trudy Bot. Muz. Imp. Akad. Nauk, 16: 140,(1916),Calligonum litwinowii,Drobow,2692571,,,,2692452,693356-1,,N,Calligonum litwinowii,Calligonum litwinowii Drobow,693356-1,2692571,Calligonum litwinowii Drobow,Calligonum litwinowii Drobow,Calligonum litwinowii Drobow,C.,C. litwinowii,C. litwinowii Drobow,C. litwinowii Drobow,C. litwinowii Drobow,1916
694018,430026-1,Callitriche occidentalis,Callitriche occidentalis Hegelm.,Plantaginaceae,Species,31642,430026-1,Species,Accepted,Plantaginaceae,,Callitriche,,occidentalis,,,,Hegelm.,,Monogr. Callitriche,: 57,(1864),Callitriche occidentalis,Hegelm.,31642,,,,31517,430026-1,,N,Callitriche occidentalis,Callitriche occidentalis Hegelm.,430026-1,31642,Callitriche occidentalis Hegelm.,Callitriche occidentalis Hegelm.,Callitriche occidentalis Hegelm.,C.,C. occidentalis,C. occidentalis Hegelm.,C. occidentalis Hegelm.,C. occidentalis Hegelm.,1864
237341,621486-1,Calochilus grandiflorus,Calochilus grandiflorus (Benth.) Domin,Orchidaceae,Species,31757,621486-1,Species,Accepted,Orchidaceae,,Calochilus,,grandiflorus,,,Benth.,Domin,,Biblioth. Bot., 20(85): 551,(1915),Calochilus grandiflorus,(Benth.) Domin,31757,31753,,,31749,621486-1,,Y,Calochilus grandiflorus,Calochilus grandiflorus (Benth.) Domin,621486-1,31757,Calochilus grandiflorus (Benth.) Domin,Calochilus grandiflorus Benth. Domin,Calochilus grandiflorus Domin,C.,C. grandiflorus,C. grandiflorus (Benth.) Domin,C. grandiflorus Benth. Domin,C. grandiflorus Domin,1915
61487,17537220-1,Calochlaena javanica,Calochlaena javanica (Blume) M.D.Turner & R.A.White,Cyatheaceae,Species,3146518,17537220-1,Species,Accepted,Cyatheaceae,,Calochlaena,,javanica,,,Blume,M.D.Turner & R.A.White,,Amer. Fern J., 78: 93,(1988),Calochlaena javanica,(Blume) M.D.Turner & R.A.White,3146518,3160335,,,3189877,17537220-1,,N,Calochlaena javanica,Calochlaena javanica (Blume) M.D.Turner & R.A.White,17537220-1,3146518,Calochlaena javanica (Blume) M.D.Turner & R.A.White,Calochlaena javanica Blume M.D.Turner & R.A.White,Calochlaena javanica M.D.Turner & R.A.White,C.,C. javanica,C. javanica (Blume) M.D.Turner & R.A.White,C. javanica Blume M.D.Turner & R.A.White,C. javanica M.D.Turner & R.A.White,1988
597161,317379-2,Calochortus elegans,Calochortus elegans Pursh,Liliaceae,Species,301668,317379-2,Species,Accepted,Liliaceae,,Calochortus,,elegans,,,,Pursh,,Fl. Amer. Sept., 1: 240,(1814),Calochortus elegans,Pursh,301668,,,,301625,317379-2,,Y,Calochortus elegans,Calochortus elegans Pursh,317379-2,301668,Calochortus elegans Pursh,Calochortus elegans Pursh,Calochortus elegans Pursh,C.,C. elegans,C. elegans Pursh,C. elegans Pursh,C. elegans Pursh,1814
592078,532428-1,Calochortus luteus,Calochortus luteus Douglas ex Lindl.,Liliaceae,Species,301713,532428-1,Species,Accepted,Liliaceae,,Calochortus,,luteus,,,,Douglas ex Lindl.,,Edwards's Bot. Reg., 19: t. 1567,(1833),Calochortus luteus,Douglas ex Lindl.,301713,,,,301625,532428-1,,Y,Calochortus luteus,Calochortus luteus Douglas ex Lindl.,532428-1,301713,Calochortus luteus Douglas ex Lindl.,Calochortus luteus Douglas ex Lindl.,Calochortus luteus Douglas ex Lindl.,C.,C. luteus,C. luteus Douglas ex Lindl.,C. luteus Douglas ex Lindl.,C. luteus Douglas ex Lindl.,1833
598963,532445-1,Calochortus nitidus,Calochortus nitidus Douglas,Liliaceae,Species,301736,532445-1,Species,Accepted,Liliaceae,,Calochortus,,nitidus,,,,Douglas,,Trans. Hort. Soc. London, 7: 277,(1828),Calochortus nitidus,Douglas,301736,,,,301625,532445-1,,Y,Calochortus nitidus,Calochortus nitidus Douglas,532445-1,301736,Calochortus nitidus Douglas,Calochortus nitidus Douglas,Calochortus nitidus Douglas,C.,C. nitidus,C. nitidus Douglas,C. nitidus Douglas,C. nitidus Douglas,1828
597535,532476-1,Calochortus umbellatus,Calochortus umbellatus Alph.Wood,Liliaceae,Species,301785,532476-1,Species,Accepted,Liliaceae,,Calochortus,,umbellatus,,,,Alph.Wood,,Proc. Acad. Nat. Sci. Philadelphia, 20: 168,(1868),Calochortus umbellatus,Alph.Wood,301785,,,,301625,532476-1,,Y,Calochortus umbellatus,Calochortus umbellatus Alph.Wood,532476-1,301785,Calochortus umbellatus Alph.Wood,Calochortus umbellatus Alph.Wood,Calochortus umbellatus Alph.Wood,C.,C. umbellatus,C. umbellatus Alph.Wood,C. umbellatus Alph.Wood,C. umbellatus Alph.Wood,1868
591266,532479-1,Calochortus uniflorus,Calochortus uniflorus Hook. & Arn.,Liliaceae,Species,301788,532479-1,Species,Accepted,Liliaceae,,Calochortus,,uniflorus,,,,Hook. & Arn.,,Bot. Beechey Voy.,: 398,(1840),Calochortus uniflorus,Hook. & Arn.,301788,,,,301625,532479-1,,Y,Calochortus uniflorus,Calochortus uniflorus Hook. & Arn.,532479-1,301788,Calochortus uniflorus Hook. & Arn.,Calochortus uniflorus Hook. & Arn.,Calochortus uniflorus Hook. & Arn.,C.,C. uniflorus,C. uniflorus Hook. & Arn.,C. uniflorus Hook. & Arn.,C. uniflorus Hook. & Arn.,1840
599382,427097-1,Calophyllum apetalum,Calophyllum apetalum Willd.,Calophyllaceae,Species,2693202,427097-1,Species,Accepted,Calophyllaceae,,Calophyllum,,apetalum,,,,Willd.,,Mag. Neuesten Entdeck. Gesammten Naturk. Ges. Naturf. Freunde Berlin, 5: 79,(1811),Calophyllum apetalum,Willd.,2693202,,,,2693187,427097-1,,N,Calophyllum apetalum,Calophyllum apetalum Willd.,427097-1,2693202,Calophyllum apetalum Willd.,Calophyllum apetalum Willd.,Calophyllum apetalum Willd.,C.,C. apetalum,C. apetalum Willd.,C. apetalum Willd.,C. apetalum Willd.,1811
595736,427164-1,Calophyllum ferrugineum,Calophyllum ferrugineum Ridl.,Calophyllaceae,Species,2693310,427164-1,Species,Accepted,Calophyllaceae,,Calophyllum,,ferrugineum,,,,Ridl.,,J. Straits Branch Roy. Asiat. Soc., 54: 17,(1910),Calophyllum ferrugineum,Ridl.,2693310,,,,2693187,427164-1,,N,Calophyllum ferrugineum,Calophyllum ferrugineum Ridl.,427164-1,2693310,Calophyllum ferrugineum Ridl.,Calophyllum ferrugineum Ridl.,Calophyllum ferrugineum Ridl.,C.,C. ferrugineum,C. ferrugineum Ridl.,C. ferrugineum Ridl.,C. ferrugineum Ridl.,1910
590723,427255-1,Calophyllum parvifolium,Calophyllum parvifolium Choisy,Calophyllaceae,Species,2693426,427255-1,Species,Accepted,Calophyllaceae,,Calophyllum,,parvifolium,,,,Choisy,,Mém. Nouv. Gen. Guttif.,: 20,(1823),Calophyllum parvifolium,Choisy,2693426,,,,2693187,427255-1,,N,Calophyllum parvifolium,Calophyllum parvifolium Choisy,427255-1,2693426,Calophyllum parvifolium Choisy,Calophyllum parvifolium Choisy,Calophyllum parvifolium Choisy,C.,C. parvifolium,C. parvifolium Choisy,C. parvifolium Choisy,C. parvifolium Choisy,1823
