,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,publication_year,taxon_names_with_authors,taxon_names_with_paranthet_authors,taxon_names_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author
702896,178718-1,Arctotis tricolor,Arctotis tricolor Jacq.,Asteraceae,Species,3075760,178718-1,Species,Accepted,Asteraceae,,Arctotis,,tricolor,,,,Jacq.,,Pl. Hort. Schoenbr., 2: 16,(1797),Arctotis tricolor,Jacq.,3075760,,,,3133966,178718-1,,N,Arctotis tricolor,Arctotis tricolor Jacq.,178718-1,3075760,1797,Arctotis tricolor Jacq.,Arctotis tricolor Jacq.,Arctotis tricolor Jacq.,A.,A. tricolor,A. tricolor Jacq.,A. tricolor Jacq.,A. tricolor Jacq.
527315,586772-1,Ardisia biflora,Ardisia biflora King & Gamble,Primulaceae,Species,2647614,586772-1,Species,Accepted,Primulaceae,,Ardisia,,biflora,,,,King & Gamble,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.", 74: 142,(1906),Ardisia biflora,King & Gamble,2647614,,,,2647492,586772-1,,N,Ardisia biflora,Ardisia biflora King & Gamble,586772-1,2647614,1906,Ardisia biflora King & Gamble,Ardisia biflora King & Gamble,Ardisia biflora King & Gamble,A.,A. biflora,A. biflora King & Gamble,A. biflora King & Gamble,A. biflora King & Gamble
525017,934872-1,Ardisia brassii,Ardisia brassii Sleumer,Primulaceae,Species,2647640,934872-1,Species,Accepted,Primulaceae,,Ardisia,,brassii,,,,Sleumer,,Blumea, 33: 130,(1988),Ardisia brassii,Sleumer,2647640,,,,2647492,934872-1,,N,Ardisia brassii,Ardisia brassii Sleumer,934872-1,2647640,1988,Ardisia brassii Sleumer,Ardisia brassii Sleumer,Ardisia brassii Sleumer,A.,A. brassii,A. brassii Sleumer,A. brassii Sleumer,A. brassii Sleumer
523629,586827-1,Ardisia castaneifolia,Ardisia castaneifolia Mez,Primulaceae,Species,2647693,586827-1,Species,Accepted,Primulaceae,,Ardisia,,castaneifolia,,,,Mez,H.G.A.Engler (ed.),Pflanzenr.,", IV, 236: 138",(1902),Ardisia castaneifolia,Mez,2647693,,,,2647492,586827-1,,N,Ardisia castaneifolia,Ardisia castaneifolia Mez,586827-1,2647693,1902,Ardisia castaneifolia Mez,Ardisia castaneifolia Mez,Ardisia castaneifolia Mez,A.,A. castaneifolia,A. castaneifolia Mez,A. castaneifolia Mez,A. castaneifolia Mez
522575,586857-1,Ardisia colorata,Ardisia colorata G.Lodd.,Primulaceae,Species,2647735,586857-1,Species,Accepted,Primulaceae,,Ardisia,,colorata,,,,G.Lodd.,,Bot. Cab., 5: t. 465,(1821),Ardisia colorata,G.Lodd.,2647735,,,,2647492,586857-1,,N,Ardisia colorata,Ardisia colorata G.Lodd.,586857-1,2647735,1821,Ardisia colorata G.Lodd.,Ardisia colorata G.Lodd.,Ardisia colorata G.Lodd.,A.,A. colorata,A. colorata G.Lodd.,A. colorata G.Lodd.,A. colorata G.Lodd.
525949,18108-2,Ardisia crassipes,Ardisia crassipes Lundell,Primulaceae,Species,2647782,18108-2,Species,Accepted,Primulaceae,,Ardisia,,crassipes,,,,Lundell,,Wrightia, 4: 57,(1968),Ardisia crassipes,Lundell,2647782,,,,2647492,18108-2,,N,Ardisia crassipes,Ardisia crassipes Lundell,18108-2,2647782,1968,Ardisia crassipes Lundell,Ardisia crassipes Lundell,Ardisia crassipes Lundell,A.,A. crassipes,A. crassipes Lundell,A. crassipes Lundell,A. crassipes Lundell
522968,586912-1,Ardisia cymosa,Ardisia cymosa Blume,Primulaceae,Species,2647819,586912-1,Species,Accepted,Primulaceae,,Ardisia,,cymosa,,,,Blume,,Bijdr. Fl. Ned. Ind.,: 689,(1826),Ardisia cymosa,Blume,2647819,,,,2647492,586912-1,,N,Ardisia cymosa,Ardisia cymosa Blume,586912-1,2647819,1826,Ardisia cymosa Blume,Ardisia cymosa Blume,Ardisia cymosa Blume,A.,A. cymosa,A. cymosa Blume,A. cymosa Blume,A. cymosa Blume
532453,587043-1,Ardisia glauca,Ardisia glauca Mez,Primulaceae,Species,2647994,587043-1,Species,Accepted,Primulaceae,,Ardisia,,glauca,,,,Mez,,Repert. Spec. Nov. Regni Veg., 16: 412,(1920),Ardisia glauca,Mez,2647994,,,,2647492,587043-1,,N,Ardisia glauca,Ardisia glauca Mez,587043-1,2647994,1920,Ardisia glauca Mez,Ardisia glauca Mez,Ardisia glauca Mez,A.,A. glauca,A. glauca Mez,A. glauca Mez,A. glauca Mez
523634,587087-1,Ardisia humilis,Ardisia humilis Vahl,Primulaceae,Species,2648056,587087-1,Species,Accepted,Primulaceae,,Ardisia,,humilis,,,,Vahl,,Symb. Bot., 3: 40,(1794),Ardisia humilis,Vahl,2648056,,,,2647492,587087-1,,N,Ardisia humilis,Ardisia humilis Vahl,587087-1,2648056,1794,Ardisia humilis Vahl,Ardisia humilis Vahl,Ardisia humilis Vahl,A.,A. humilis,A. humilis Vahl,A. humilis Vahl,A. humilis Vahl
520678,587250-1,Ardisia meziana,Ardisia meziana King & Gamble,Primulaceae,Species,2648277,587250-1,Species,Accepted,Primulaceae,,Ardisia,,meziana,,,,King & Gamble,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.", 74: 147,(1906),Ardisia meziana,King & Gamble,2648277,,,,2647492,587250-1,,N,Ardisia meziana,Ardisia meziana King & Gamble,587250-1,2648277,1906,Ardisia meziana King & Gamble,Ardisia meziana King & Gamble,Ardisia meziana King & Gamble,A.,A. meziana,A. meziana King & Gamble,A. meziana King & Gamble,A. meziana King & Gamble
521047,587263-1,Ardisia minor,Ardisia minor King & Gamble,Primulaceae,Species,2648295,587263-1,Species,Accepted,Primulaceae,,Ardisia,,minor,,,,King & Gamble,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.", 74: 146,(1906),Ardisia minor,King & Gamble,2648295,,,,2647492,587263-1,,N,Ardisia minor,Ardisia minor King & Gamble,587263-1,2648295,1906,Ardisia minor King & Gamble,Ardisia minor King & Gamble,Ardisia minor King & Gamble,A.,A. minor,A. minor King & Gamble,A. minor King & Gamble,A. minor King & Gamble
527085,60438473-2,Ardisia nana,Ardisia nana Pipoly & Ricketson,Primulaceae,Species,2648347,60438473-2,Species,Accepted,Primulaceae,,Ardisia,,nana,,,,Pipoly & Ricketson,,Novon, 15: 195,(2005),Ardisia nana,Pipoly & Ricketson,2648347,,,,2647492,60438473-2,,N,Ardisia nana,Ardisia nana Pipoly & Ricketson,60438473-2,2648347,2005,Ardisia nana Pipoly & Ricketson,Ardisia nana Pipoly & Ricketson,Ardisia nana Pipoly & Ricketson,A.,A. nana,A. nana Pipoly & Ricketson,A. nana Pipoly & Ricketson,A. nana Pipoly & Ricketson
523638,587306-1,Ardisia neriifolia,Ardisia neriifolia Wall. ex A.DC.,Primulaceae,Species,2648356,587306-1,Species,Accepted,Primulaceae,,Ardisia,,neriifolia,,,,Wall. ex A.DC.,,Trans. Linn. Soc. London, 17: 118,(1834),Ardisia neriifolia,Wall. ex A.DC.,2648356,,,,2647492,587306-1,,N,Ardisia neriifolia,Ardisia neriifolia Wall. ex A.DC.,587306-1,2648356,1834,Ardisia neriifolia Wall. ex A.DC.,Ardisia neriifolia Wall. ex A.DC.,Ardisia neriifolia Wall. ex A.DC.,A.,A. neriifolia,A. neriifolia Wall. ex A.DC.,A. neriifolia Wall. ex A.DC.,A. neriifolia Wall. ex A.DC.
522974,587308-1,Ardisia nervosa,Ardisia nervosa H.R.Fletcher,Primulaceae,Species,2648358,587308-1,Species,Accepted,Primulaceae,,Ardisia,,nervosa,,,,H.R.Fletcher,,Bull. Misc. Inform. Kew, 1937: 34,(1937),Ardisia nervosa,H.R.Fletcher,2648358,,,,2647492,587308-1,,N,Ardisia nervosa,Ardisia nervosa H.R.Fletcher,587308-1,2648358,1937,Ardisia nervosa H.R.Fletcher,Ardisia nervosa H.R.Fletcher,Ardisia nervosa H.R.Fletcher,A.,A. nervosa,A. nervosa H.R.Fletcher,A. nervosa H.R.Fletcher,A. nervosa H.R.Fletcher
523639,18256-2,Ardisia obovata,Ardisia obovata Desv.,Primulaceae,Species,2648388,18256-2,Species,Accepted,Primulaceae,,Ardisia,,obovata,,,,Desv.,W.Hamilton,Prodr. Pl. Ind. Occid.,: 26,(1825),Ardisia obovata,Desv.,2648388,,,,2647492,18256-2,,N,Ardisia obovata,Ardisia obovata Desv.,18256-2,2648388,1825,Ardisia obovata Desv.,Ardisia obovata Desv.,Ardisia obovata Desv.,A.,A. obovata,A. obovata Desv.,A. obovata Desv.,A. obovata Desv.
531687,60458967-2,Ardisia odontophylla,Ardisia odontophylla Wall. ex A.DC.,Primulaceae,Species,2648398,60458967-2,Species,Accepted,Primulaceae,,Ardisia,,odontophylla,,,,Wall. ex A.DC.,,Trans. Linn. Soc. London, 17: 124,(1834),Ardisia odontophylla,Wall. ex A.DC.,2648398,,,,2647492,60458967-2,,N,Ardisia odontophylla,Ardisia odontophylla Wall. ex A.DC.,60458967-2,2648398,1834,Ardisia odontophylla Wall. ex A.DC.,Ardisia odontophylla Wall. ex A.DC.,Ardisia odontophylla Wall. ex A.DC.,A.,A. odontophylla,A. odontophylla Wall. ex A.DC.,A. odontophylla Wall. ex A.DC.,A. odontophylla Wall. ex A.DC.
529712,587368-1,Ardisia pallidiflora,Ardisia pallidiflora Ridl.,Primulaceae,Species,2648439,587368-1,Species,Accepted,Primulaceae,,Ardisia,,pallidiflora,,,,Ridl.,,J. Straits Branch Roy. Asiat. Soc., 61: 27,(1912),Ardisia pallidiflora,Ridl.,2648439,,,,2647492,587368-1,,N,Ardisia pallidiflora,Ardisia pallidiflora Ridl.,587368-1,2648439,1912,Ardisia pallidiflora Ridl.,Ardisia pallidiflora Ridl.,Ardisia pallidiflora Ridl.,A.,A. pallidiflora,A. pallidiflora Ridl.,A. pallidiflora Ridl.,A. pallidiflora Ridl.
522975,587373-1,Ardisia paniculata,Ardisia paniculata Roxb.,Primulaceae,Species,2648444,587373-1,Species,Accepted,Primulaceae,,Ardisia,,paniculata,,,,Roxb.,,Fl. Ind., 2: 270,(1824),Ardisia paniculata,Roxb.,2648444,,,,2647492,587373-1,,N,Ardisia paniculata,Ardisia paniculata Roxb.,587373-1,2648444,1824,Ardisia paniculata Roxb.,Ardisia paniculata Roxb.,Ardisia paniculata Roxb.,A.,A. paniculata,A. paniculata Roxb.,A. paniculata Roxb.,A. paniculata Roxb.
525561,587384-1,Ardisia pauciflora,Ardisia pauciflora B.Heyne ex Roxb.,Primulaceae,Species,2648462,587384-1,Species,Accepted,Primulaceae,,Ardisia,,pauciflora,,,,B.Heyne ex Roxb.,,Fl. Ind., 2: 279,(1824),Ardisia pauciflora,B.Heyne ex Roxb.,2648462,,,,2647492,587384-1,,N,Ardisia pauciflora,Ardisia pauciflora B.Heyne ex Roxb.,587384-1,2648462,1824,Ardisia pauciflora B.Heyne ex Roxb.,Ardisia pauciflora B.Heyne ex Roxb.,Ardisia pauciflora B.Heyne ex Roxb.,A.,A. pauciflora,A. pauciflora B.Heyne ex Roxb.,A. pauciflora B.Heyne ex Roxb.,A. pauciflora B.Heyne ex Roxb.
532303,587537-1,Ardisia rosea,Ardisia rosea King & Gamble,Primulaceae,Species,2648669,587537-1,Species,Accepted,Primulaceae,,Ardisia,,rosea,,,,King & Gamble,,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.", 74: 150,(1906),Ardisia rosea,King & Gamble,2648669,,,,2647492,587537-1,,N,Ardisia rosea,Ardisia rosea King & Gamble,587537-1,2648669,1906,Ardisia rosea King & Gamble,Ardisia rosea King & Gamble,Ardisia rosea King & Gamble,A.,A. rosea,A. rosea King & Gamble,A. rosea King & Gamble,A. rosea King & Gamble
522421,587726-1,Ardisia villosa,Ardisia villosa Roxb.,Primulaceae,Species,2648928,587726-1,Species,Accepted,Primulaceae,,Ardisia,,villosa,,,,Roxb.,,Fl. Ind., 2: 274,(1824),Ardisia villosa,Roxb.,2648928,,,,2647492,587726-1,,N,Ardisia villosa,Ardisia villosa Roxb.,587726-1,2648928,1824,Ardisia villosa Roxb.,Ardisia villosa Roxb.,Ardisia villosa Roxb.,A.,A. villosa,A. villosa Roxb.,A. villosa Roxb.,A. villosa Roxb.
519791,587737-1,Ardisia wallichii,Ardisia wallichii A.DC.,Primulaceae,Species,2648946,587737-1,Species,Accepted,Primulaceae,,Ardisia,,wallichii,,,,A.DC.,,Trans. Linn. Soc. London, 17: 123,(1834),Ardisia wallichii,A.DC.,2648946,,,,2647492,587737-1,,N,Ardisia wallichii,Ardisia wallichii A.DC.,587737-1,2648946,1834,Ardisia wallichii A.DC.,Ardisia wallichii A.DC.,Ardisia wallichii A.DC.,A.,A. wallichii,A. wallichii A.DC.,A. wallichii A.DC.,A. wallichii A.DC.
143262,77163942-1,Ardisia zeylanica,Ardisia zeylanica (Gaertn.) Lam. ex Forsyth f.,Primulaceae,Species,3013942,77163942-1,Species,Accepted,Primulaceae,,Ardisia,,zeylanica,,,Gaertn.,Lam. ex Forsyth f.,,Bot. Nomencl.,: 144,(1794),Ardisia zeylanica,(Gaertn.) Lam. ex Forsyth f.,3013942,2639478,,,2647492,77163942-1,,N,Ardisia zeylanica,Ardisia zeylanica (Gaertn.) Lam. ex Forsyth f.,77163942-1,3013942,1794,Ardisia zeylanica (Gaertn.) Lam. ex Forsyth f.,Ardisia zeylanica Gaertn. Lam. ex Forsyth f.,Ardisia zeylanica Lam. ex Forsyth f.,A.,A. zeylanica,A. zeylanica (Gaertn.) Lam. ex Forsyth f.,A. zeylanica Gaertn. Lam. ex Forsyth f.,A. zeylanica Lam. ex Forsyth f.
765905,150955-1,Arenaria angustifolia,Arenaria angustifolia McNeill,Caryophyllaceae,Species,2649053,150955-1,Species,Accepted,Caryophyllaceae,,Arenaria,,angustifolia,,,,McNeill,,Notes Roy. Bot. Gard. Edinburgh, 23: 509,(1961),Arenaria angustifolia,McNeill,2649053,,,,2648986,150955-1,,N,Arenaria angustifolia,Arenaria angustifolia McNeill,150955-1,2649053,1961,Arenaria angustifolia McNeill,Arenaria angustifolia McNeill,Arenaria angustifolia McNeill,A.,A. angustifolia,A. angustifolia McNeill,A. angustifolia McNeill,A. angustifolia McNeill
766689,150998-1,Arenaria benthamii,Arenaria benthamii Fenzl ex Torr. & A.Gray,Caryophyllaceae,Species,2649116,150998-1,Species,Accepted,Caryophyllaceae,,Arenaria,,benthamii,,,,Fenzl ex Torr. & A.Gray,,Fl. N. Amer., 1: 675,(1840),Arenaria benthamii,Fenzl ex Torr. & A.Gray,2649116,,,,2648986,150998-1,,N,Arenaria benthamii,Arenaria benthamii Fenzl ex Torr. & A.Gray,150998-1,2649116,1840,Arenaria benthamii Fenzl ex Torr. & A.Gray,Arenaria benthamii Fenzl ex Torr. & A.Gray,Arenaria benthamii Fenzl ex Torr. & A.Gray,A.,A. benthamii,A. benthamii Fenzl ex Torr. & A.Gray,A. benthamii Fenzl ex Torr. & A.Gray,A. benthamii Fenzl ex Torr. & A.Gray
765420,151005-1,Arenaria biflora,Arenaria biflora L.,Caryophyllaceae,Species,2649126,151005-1,Species,Accepted,Caryophyllaceae,,Arenaria,,biflora,,,,L.,,Mant. Pl., 1: 71,(1767),Arenaria biflora,L.,2649126,,,,2648986,151005-1,,N,Arenaria biflora,Arenaria biflora L.,151005-1,2649126,1767,Arenaria biflora L.,Arenaria biflora L.,Arenaria biflora L.,A.,A. biflora,A. biflora L.,A. biflora L.,A. biflora L.
762874,151065-1,Arenaria cerastioides,Arenaria cerastioides Poir.,Caryophyllaceae,Species,2649207,151065-1,Species,Accepted,Caryophyllaceae,,Arenaria,,cerastioides,,,,Poir.,,Voy. Barbarie, 2: 166,(1789),Arenaria cerastioides,Poir.,2649207,,,,2648986,151065-1,,N,Arenaria cerastioides,Arenaria cerastioides Poir.,151065-1,2649207,1789,Arenaria cerastioides Poir.,Arenaria cerastioides Poir.,Arenaria cerastioides Poir.,A.,A. cerastioides,A. cerastioides Poir.,A. cerastioides Poir.,A. cerastioides Poir.
761535,151090-1,Arenaria conferta,Arenaria conferta Boiss.,Caryophyllaceae,Species,2649247,151090-1,Species,Accepted,Caryophyllaceae,,Arenaria,,conferta,,,,Boiss.,,Diagn. Pl. Orient., 1: 51,(1843),Arenaria conferta,Boiss.,2649247,,,,2648986,151090-1,,N,Arenaria conferta,Arenaria conferta Boiss.,151090-1,2649247,1843,Arenaria conferta Boiss.,Arenaria conferta Boiss.,Arenaria conferta Boiss.,A.,A. conferta,A. conferta Boiss.,A. conferta Boiss.,A. conferta Boiss.
762561,151096-1,Arenaria conimbricensis,Arenaria conimbricensis Brot.,Caryophyllaceae,Species,2649270,151096-1,Species,Accepted,Caryophyllaceae,,Arenaria,,conimbricensis,,,,Brot.,,Fl. Lusit., 2: 200,(1804),Arenaria conimbricensis,Brot.,2649270,,,,2648986,151096-1,,N,Arenaria conimbricensis,Arenaria conimbricensis Brot.,151096-1,2649270,1804,Arenaria conimbricensis Brot.,Arenaria conimbricensis Brot.,Arenaria conimbricensis Brot.,A.,A. conimbricensis,A. conimbricensis Brot.,A. conimbricensis Brot.,A. conimbricensis Brot.
767145,18511-2,Arenaria dicranoides,Arenaria dicranoides Kunth,Caryophyllaceae,Species,2649327,18511-2,Species,Accepted,Caryophyllaceae,,Arenaria,,dicranoides,,,,Kunth,"F.W.H.von Humboldt, A.J.A.Bonpland & C.S.Kunth",Nov. Gen. Sp., 6: 34,(1823),Arenaria dicranoides,Kunth,2649327,,,,2648986,18511-2,,N,Arenaria dicranoides,Arenaria dicranoides Kunth,18511-2,2649327,1823,Arenaria dicranoides Kunth,Arenaria dicranoides Kunth,Arenaria dicranoides Kunth,A.,A. dicranoides,A. dicranoides Kunth,A. dicranoides Kunth,A. dicranoides Kunth
764374,151162-1,Arenaria emarginata,Arenaria emarginata Brot.,Caryophyllaceae,Species,2649350,151162-1,Species,Accepted,Caryophyllaceae,,Arenaria,,emarginata,,,,Brot.,,Fl. Lusit., 2: 202,(1804),Arenaria emarginata,Brot.,2649350,,,,2648986,151162-1,,N,Arenaria emarginata,Arenaria emarginata Brot.,151162-1,2649350,1804,Arenaria emarginata Brot.,Arenaria emarginata Brot.,Arenaria emarginata Brot.,A.,A. emarginata,A. emarginata Brot.,A. emarginata Brot.,A. emarginata Brot.
762631,151252-1,Arenaria grandiflora,Arenaria grandiflora L.,Caryophyllaceae,Species,2649479,151252-1,Species,Accepted,Caryophyllaceae,,Arenaria,,grandiflora,,,,L.,,"Syst. Nat., ed. 10.", 2: 1034,(1759),Arenaria grandiflora,L.,2649479,,,,2648986,151252-1,,N,Arenaria grandiflora,Arenaria grandiflora L.,151252-1,2649479,1759,Arenaria grandiflora L.,Arenaria grandiflora L.,Arenaria grandiflora L.,A.,A. grandiflora,A. grandiflora L.,A. grandiflora L.,A. grandiflora L.
768047,302294-2,Arenaria hintoniorum,Arenaria hintoniorum B.L.Turner,Caryophyllaceae,Species,2649528,302294-2,Species,Accepted,Caryophyllaceae,,Arenaria,,hintoniorum,,,,B.L.Turner,,Phytologia, 71: 58,(1992),Arenaria hintoniorum,B.L.Turner,2649528,,,,2648986,302294-2,,N,Arenaria hintoniorum,Arenaria hintoniorum B.L.Turner,302294-2,2649528,1992,Arenaria hintoniorum B.L.Turner,Arenaria hintoniorum B.L.Turner,Arenaria hintoniorum B.L.Turner,A.,A. hintoniorum,A. hintoniorum B.L.Turner,A. hintoniorum B.L.Turner,A. hintoniorum B.L.Turner
768302,151291-1,Arenaria humifusa,Arenaria humifusa Wahlenb.,Caryophyllaceae,Species,2649551,151291-1,Species,Accepted,Caryophyllaceae,,Arenaria,,humifusa,,,,Wahlenb.,,Fl. Lapp.,: 129,(1812),Arenaria humifusa,Wahlenb.,2649551,,,,2648986,151291-1,,N,Arenaria humifusa,Arenaria humifusa Wahlenb.,151291-1,2649551,1812,Arenaria humifusa Wahlenb.,Arenaria humifusa Wahlenb.,Arenaria humifusa Wahlenb.,A.,A. humifusa,A. humifusa Wahlenb.,A. humifusa Wahlenb.,A. humifusa Wahlenb.
763135,151468-1,Arenaria multicaulis,Arenaria multicaulis L.,Caryophyllaceae,Species,2649803,151468-1,Species,Accepted,Caryophyllaceae,,Arenaria,,multicaulis,,,,L.,,"Syst. Nat., ed. 10.",: 1034,(1759),Arenaria multicaulis,L.,2649803,,,,2648986,151468-1,,N,Arenaria multicaulis,Arenaria multicaulis L.,151468-1,2649803,1759,Arenaria multicaulis L.,Arenaria multicaulis L.,Arenaria multicaulis L.,A.,A. multicaulis,A. multicaulis L.,A. multicaulis L.,A. multicaulis L.
766712,151476-1,Arenaria musciformis,Arenaria musciformis Triana & Planch.,Caryophyllaceae,Species,2649811,151476-1,Species,Accepted,Caryophyllaceae,,Arenaria,,musciformis,,,,Triana & Planch.,,"Ann. Sci. Nat., Bot.",", sér. 4, 17: 150",(1862),Arenaria musciformis,Triana & Planch.,2649811,,,,2648986,151476-1,,N,Arenaria musciformis,Arenaria musciformis Triana & Planch.,151476-1,2649811,1862,Arenaria musciformis Triana & Planch.,Arenaria musciformis Triana & Planch.,Arenaria musciformis Triana & Planch.,A.,A. musciformis,A. musciformis Triana & Planch.,A. musciformis Triana & Planch.,A. musciformis Triana & Planch.
766189,18634-2,Arenaria oresbia,Arenaria oresbia Greenm.,Caryophyllaceae,Species,2649870,18634-2,Species,Accepted,Caryophyllaceae,,Arenaria,,oresbia,,,,Greenm.,,Zoe, 5: 184,(1904),Arenaria oresbia,Greenm.,2649870,,,,2648986,18634-2,,N,Arenaria oresbia,Arenaria oresbia Greenm.,18634-2,2649870,1904,Arenaria oresbia Greenm.,Arenaria oresbia Greenm.,Arenaria oresbia Greenm.,A.,A. oresbia,A. oresbia Greenm.,A. oresbia Greenm.,A. oresbia Greenm.
762389,151612-1,Arenaria pungens,Arenaria pungens Clemente ex Lag.,Caryophyllaceae,Species,2649991,151612-1,Species,Accepted,Caryophyllaceae,,Arenaria,,pungens,,,,Clemente ex Lag.,,Gen. Sp. Pl.,: 15,(1816),Arenaria pungens,Clemente ex Lag.,2649991,,,,2648986,151612-1,,N,Arenaria pungens,Arenaria pungens Clemente ex Lag.,151612-1,2649991,1816,Arenaria pungens Clemente ex Lag.,Arenaria pungens Clemente ex Lag.,Arenaria pungens Clemente ex Lag.,A.,A. pungens,A. pungens Clemente ex Lag.,A. pungens Clemente ex Lag.,A. pungens Clemente ex Lag.
764719,151771-1,Arenaria tenella,Arenaria tenella Kit. ex Schult.,Caryophyllaceae,Species,2650235,151771-1,Species,Accepted,Caryophyllaceae,,Arenaria,,tenella,,,,Kit. ex Schult.,,Oestr. Fl.,", ed. 2, 1: 662",(1814),Arenaria tenella,Kit. ex Schult.,2650235,,,,2648986,151771-1,,N,Arenaria tenella,Arenaria tenella Kit. ex Schult.,151771-1,2650235,1814,Arenaria tenella Kit. ex Schult.,Arenaria tenella Kit. ex Schult.,Arenaria tenella Kit. ex Schult.,A.,A. tenella,A. tenella Kit. ex Schult.,A. tenella Kit. ex Schult.,A. tenella Kit. ex Schult.
657241,743646-1,Argostemma bifolium,Argostemma bifolium Ridl.,Rubiaceae,Species,14796,743646-1,Species,Accepted,Rubiaceae,,Argostemma,,bifolium,,,,Ridl.,,Fl. Malay Penins., 5: 314,(1925),Argostemma bifolium,Ridl.,14796,,,,14774,743646-1,,Y,Argostemma bifolium,Argostemma bifolium Ridl.,743646-1,14796,1925,Argostemma bifolium Ridl.,Argostemma bifolium Ridl.,Argostemma bifolium Ridl.,A.,A. bifolium,A. bifolium Ridl.,A. bifolium Ridl.,A. bifolium Ridl.
657877,743680-1,Argostemma enerve,Argostemma enerve Ridl.,Rubiaceae,Species,14839,743680-1,Species,Accepted,Rubiaceae,,Argostemma,,enerve,,,,Ridl.,,J. Straits Branch Roy. Asiat. Soc., 61: 13,(1912),Argostemma enerve,Ridl.,14839,,,,14774,743680-1,,Y,Argostemma enerve,Argostemma enerve Ridl.,743680-1,14839,1912,Argostemma enerve Ridl.,Argostemma enerve Ridl.,Argostemma enerve Ridl.,A.,A. enerve,A. enerve Ridl.,A. enerve Ridl.,A. enerve Ridl.
655882,743723-1,Argostemma lanceolatum,Argostemma lanceolatum Ridl.,Rubiaceae,Species,14888,743723-1,Species,Accepted,Rubiaceae,,Argostemma,,lanceolatum,,,,Ridl.,,J. Fed. Malay States Mus., 4: 26,(1909),Argostemma lanceolatum,Ridl.,14888,,,,14774,743723-1,,Y,Argostemma lanceolatum,Argostemma lanceolatum Ridl.,743723-1,14888,1909,Argostemma lanceolatum Ridl.,Argostemma lanceolatum Ridl.,Argostemma lanceolatum Ridl.,A.,A. lanceolatum,A. lanceolatum Ridl.,A. lanceolatum Ridl.,A. lanceolatum Ridl.
656168,743738-1,Argostemma monophyllum,Argostemma monophyllum Ridl.,Rubiaceae,Species,14906,743738-1,Species,Accepted,Rubiaceae,,Argostemma,,monophyllum,,,,Ridl.,,J. Bot., 65: 27,(1927),Argostemma monophyllum,Ridl.,14906,,,,14774,743738-1,,Y,Argostemma monophyllum,Argostemma monophyllum Ridl.,743738-1,14906,1927,Argostemma monophyllum Ridl.,Argostemma monophyllum Ridl.,Argostemma monophyllum Ridl.,A.,A. monophyllum,A. monophyllum Ridl.,A. monophyllum Ridl.,A. monophyllum Ridl.
658901,743770-1,Argostemma pictum,Argostemma pictum Wall.,Rubiaceae,Species,14942,743770-1,Species,Accepted,Rubiaceae,,Argostemma,,pictum,,,,Wall.,W.Roxburgh,Fl. Ind., 2: 327,(1824),Argostemma pictum,Wall.,14942,,,,14774,743770-1,,Y,Argostemma pictum,Argostemma pictum Wall.,743770-1,14942,1824,Argostemma pictum Wall.,Argostemma pictum Wall.,Argostemma pictum Wall.,A.,A. pictum,A. pictum Wall.,A. pictum Wall.,A. pictum Wall.
661451,743811-1,Argostemma stellatum,Argostemma stellatum Craib,Rubiaceae,Species,14986,743811-1,Species,Accepted,Rubiaceae,,Argostemma,,stellatum,,,,Craib,,Bull. Misc. Inform. Kew, 1911: 387,(1911),Argostemma stellatum,Craib,14986,,,,14774,743811-1,,Y,Argostemma stellatum,Argostemma stellatum Craib,743811-1,14986,1911,Argostemma stellatum Craib,Argostemma stellatum Craib,Argostemma stellatum Craib,A.,A. stellatum,A. stellatum Craib,A. stellatum Craib,A. stellatum Craib
655886,743833-1,Argostemma unifolium,Argostemma unifolium Benn.,Rubiaceae,Species,15013,743833-1,Species,Accepted,Rubiaceae,,Argostemma,,unifolium,,,,Benn.,,Pl. Jav. Rar., 1: 94,(1838),Argostemma unifolium,Benn.,15013,,,,14774,743833-1,,Y,Argostemma unifolium,Argostemma unifolium Benn.,743833-1,15013,1838,Argostemma unifolium Benn.,Argostemma unifolium Benn.,Argostemma unifolium Benn.,A.,A. unifolium,A. unifolium Benn.,A. unifolium Benn.,A. unifolium Benn.
