,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_with_authors,taxon_name_with_paranthet_authors,taxon_name_with_primary_author,abbreviated_genus,sp_binomial_with_abbreviated_genus,sp_binomial_with_abbreviated_genus_with_authors,sp_binomial_with_abbreviated_genus_with_paranthet_authors,sp_binomial_with_abbreviated_genus_with_primary_author
798770,534541-1,Drimia modesta,Drimia modesta (Baker) Jessop,Asparagaceae,Species,Drimia,Drimia Jacq. ex Willd.,304938,328185-2,Genus,290753,77248197-1,Species,Illegitimate,Asparagaceae,,Urginea,,pauciflora,,,,Baker,,Bull. Herb. Boissier,", sér. 2, 1: 786",(1901),", nom. illeg.",,,,Urginea pauciflora,Baker,305020,,,,,77248197-1,,Y,Drimia modesta,Drimia modesta (Baker) Jessop,534541-1,305020,Urginea pauciflora Baker,Urginea pauciflora Baker,Urginea pauciflora Baker,U.,U. pauciflora,U. pauciflora Baker,U. pauciflora Baker,U. pauciflora Baker
800235,71331-1,Semecarpus walkeri,Semecarpus walkeri Hook.f.,Anacardiaceae,Species,Semecarpus,Semecarpus L.f.,2479715,1913-1,Genus,2479939,,Species,Synonym,Anacardiaceae,,Semecarpus,,obscurus,,,,Thwaites,,Enum. Pl. Zeyl.,: 410,(1864),,,,,Semecarpus obscurus,Thwaites,2479886,,,,,2479939-4,,N,Semecarpus walkeri,Semecarpus walkeri Hook.f.,71331-1,2479886,Semecarpus obscurus Thwaites,Semecarpus obscurus Thwaites,Semecarpus obscurus Thwaites,S.,S. obscurus,S. obscurus Thwaites,S. obscurus Thwaites,S. obscurus Thwaites
801166,129903-1,Cephalocereus senilis,Cephalocereus senilis (Haw.) K.Schum.,Cactaceae,Species,Cephalocereus,Cephalocereus Pfeiff.,2709464,30002055-2,Genus,2782328,,Species,Synonym,Cactaceae,,Echinocactus,,staplesiae,,,,Tate,,Gard. Mag. & Reg. Rural Domest. Improv., 16: 27,(1840),,,,,Echinocactus staplesiae,Tate,2709565,,,,,2782328-4,,N,Cephalocereus senilis,Cephalocereus senilis (Haw.) K.Schum.,129903-1,2709565,Echinocactus staplesiae Tate,Echinocactus staplesiae Tate,Echinocactus staplesiae Tate,E.,E. staplesiae,E. staplesiae Tate,E. staplesiae Tate,E. staplesiae Tate
803356,129903-1,Cephalocereus senilis,Cephalocereus senilis (Haw.) K.Schum.,Cactaceae,Species,Cephalocereus,Cephalocereus Pfeiff.,2709464,30002055-2,Genus,2782327,,Species,Synonym,Cactaceae,,Echinocactus,,staplesiae,,,,Tate,,Gard. Mag. & Reg. Rural Domest. Improv., 16: 27,(1840),,,,,Echinocactus staplesiae,Tate,2709565,,,,,2782327-4,,N,Cephalocereus senilis,Cephalocereus senilis (Haw.) K.Schum.,129903-1,2709565,Echinocactus staplesiae Tate,Echinocactus staplesiae Tate,Echinocactus staplesiae Tate,E.,E. staplesiae,E. staplesiae Tate,E. staplesiae Tate,E. staplesiae Tate
803768,733047-1,Rosa laevigata,Rosa laevigata Michx.,Rosaceae,Species,Rosa,Rosa L.,2964569,30002432-2,Genus,2902117,,Species,Synonym,Rosaceae,,Rosa,,argyi,,,,H.Lév.,,Bull. Soc. Bot. France, 55: 56,(1908),,,,,Rosa argyi,H.Lév.,2902106,,,,,2902117-4,,N,Rosa laevigata,Rosa laevigata Michx.,733047-1,2902106,Rosa argyi H.Lév.,Rosa argyi H.Lév.,Rosa argyi H.Lév.,R.,R. argyi,R. argyi H.Lév.,R. argyi H.Lév.,R. argyi H.Lév.
804199,1198545-2,Microlepia speluncae,Microlepia speluncae (L.) T.Moore,Dennstaedtiaceae,Species,Microlepia,Microlepia C.Presl,3189864,30049927-2,Genus,3193809,160158-2,Species,Synonym,Dennstaedtiaceae,,Microlepia,,lindsayiformis,,,,Fée,,Crypt. Vasc. Brésil, 1: 152,(1869),,,,,Microlepia lindsayiformis,Fée,3146814,,,,,160158-2,,N,Microlepia speluncae,Microlepia speluncae (L.) T.Moore,1198545-2,3146814,Microlepia lindsayiformis Fée,Microlepia lindsayiformis Fée,Microlepia lindsayiformis Fée,M.,M. lindsayiformis,M. lindsayiformis Fée,M. lindsayiformis Fée,M. lindsayiformis Fée
804789,347319-1,Euphorbia meloformis,Euphorbia meloformis Aiton,Euphorbiaceae,Species,Euphorbia,Euphorbia L.,78175,327729-2,Genus,80287,77240912-1,Species,Illegitimate,Euphorbiaceae,,Euphorbia,,infausta,,,,N.E.Br.,W.H.Harvey & auct. suc. (eds.),Fl. Cap., 5(2): 358,(1915),", nom. illeg.",,,,Euphorbia infausta,N.E.Br.,80840,,,,,77240912-1,,Y,Euphorbia meloformis,Euphorbia meloformis Aiton,347319-1,80840,Euphorbia infausta N.E.Br.,Euphorbia infausta N.E.Br.,Euphorbia infausta N.E.Br.,E.,E. infausta,E. infausta N.E.Br.,E. infausta N.E.Br.,E. infausta N.E.Br.
805118,304319-1,Cyperus dilatatus,Cyperus dilatatus Schumach.,Cyperaceae,Species,Cyperus,Cyperus L.,235513,330001-2,Genus,238785,306115-1,Species,Illegitimate,Cyperaceae,,Cyperus,,tenuiculmis,,,,Boeckeler,,Flora, 62: 554,(1879),", nom. illeg.",,,,Cyperus tenuiculmis,Boeckeler,236374,,,,,306115-1,,Y,Cyperus dilatatus,Cyperus dilatatus Schumach.,304319-1,236374,Cyperus tenuiculmis Boeckeler,Cyperus tenuiculmis Boeckeler,Cyperus tenuiculmis Boeckeler,C.,C. tenuiculmis,C. tenuiculmis Boeckeler,C. tenuiculmis Boeckeler,C. tenuiculmis Boeckeler
805217,267388-2,Vriesea laxa,Vriesea laxa Mez,Bromeliaceae,Species,Vriesea,Vriesea Lindl.,271642,328332-2,Genus,269253,77247740-1,Species,Illegitimate,Bromeliaceae,,Tillandsia,,laxa,,,,Griseb.,,Nachr. Königl. Ges. Wiss. Georg-Augusts-Univ., 1: 18,(1864 publ. 1865),", nom. illeg.",,,,Tillandsia laxa,Griseb.,271911,,,T,,77247740-1,,Y,Vriesea laxa,Vriesea laxa Mez,267388-2,271911,Tillandsia laxa Griseb.,Tillandsia laxa Griseb.,Tillandsia laxa Griseb.,T.,T. laxa,T. laxa Griseb.,T. laxa Griseb.,T. laxa Griseb.
806148,77210900-1,Dupontia fulva,Dupontia fulva (Trin.) Röser & Tkach,Poaceae,Species,Dupontia,Dupontia R.Br.,451433,17962-1,Genus,546197,,Species,Synonym,Poaceae,,Molinia,,pendulina,,,Laest. ex Wahlenb.,Hartm.,,Bot. Not., 1840: 171,(1840),,,,,Molinia pendulina,(Laest. ex Wahlenb.) Hartm.,539468,417901,,,,546197-4,,Y,Dupontia fulva,Dupontia fulva (Trin.) Röser & Tkach,77210900-1,539468,Molinia pendulina (Laest. ex Wahlenb.) Hartm.,Molinia pendulina Laest. ex Wahlenb. Hartm.,Molinia pendulina Hartm.,M.,M. pendulina,M. pendulina (Laest. ex Wahlenb.) Hartm.,M. pendulina Laest. ex Wahlenb. Hartm.,M. pendulina Hartm.
806264,845511-1,Orlaya daucoides,Orlaya daucoides (L.) Greuter,Apiaceae,Species,Orlaya,Orlaya Hoffm.,2390194,40315-1,Genus,2705893,839918-1,Species,Synonym,Apiaceae,,Caucalis,,daucoides,,,,L.,,Sp. Pl.,: 241,(1753),,,,,Caucalis daucoides,L.,2390190,,,T,,839918-1,,N,Orlaya daucoides,Orlaya daucoides (L.) Greuter,845511-1,2390190,Caucalis daucoides L.,Caucalis daucoides L.,Caucalis daucoides L.,C.,C. daucoides,C. daucoides L.,C. daucoides L.,C. daucoides L.
806276,845511-1,Orlaya daucoides,Orlaya daucoides (L.) Greuter,Apiaceae,Species,Orlaya,Orlaya Hoffm.,2390194,40315-1,Genus,2705954,,Species,Illegitimate,Apiaceae,,Caucalis,,platycarpos,,,,L.,,"Syst. Nat., ed. 12.", 2: 205,(1767),", nom. illeg.",,,,Caucalis platycarpos,L.,2390190,,,,,2705954-4,,N,Orlaya daucoides,Orlaya daucoides (L.) Greuter,845511-1,2390190,Caucalis platycarpos L.,Caucalis platycarpos L.,Caucalis platycarpos L.,C.,C. platycarpos,C. platycarpos L.,C. platycarpos L.,C. platycarpos L.
806534,827891-1,Tacca chantrieri,Tacca chantrieri André,Dioscoreaceae,Species,Tacca,Tacca J.R.Forst. & G.Forst.,267821,38964-1,Genus,42579,862057-1,Species,Synonym,Lamiaceae,,Clerodendrum,,esquirolii,,,,H.Lév.,,Repert. Spec. Nov. Regni Veg., 11: 298,(1912),,,,,Clerodendrum esquirolii,H.Lév.,267832,,,,,862057-1,,Y,Tacca chantrieri,Tacca chantrieri André,827891-1,267832,Clerodendrum esquirolii H.Lév.,Clerodendrum esquirolii H.Lév.,Clerodendrum esquirolii H.Lév.,C.,C. esquirolii,C. esquirolii H.Lév.,C. esquirolii H.Lév.,C. esquirolii H.Lév.
807278,77164445-1,Eumachia wildemaniana,Eumachia wildemaniana (T.Durand ex De Wild.) Razafim. & C.M.Taylor,Rubiaceae,Species,Eumachia,Eumachia DC.,78108,34578-1,Genus,167856,761905-1,Species,Illegitimate,Rubiaceae,,Psychotria,,djumaensis,,,,De Wild.,,"Ann. Mus. Congo Belge, Bot.",", sér. 5, 2: 182",(1907),", nom. illeg.",,,,Psychotria djumaensis,De Wild.,525311,,,T,,761905-1,,Y,Eumachia wildemaniana,Eumachia wildemaniana (T.Durand ex De Wild.) Razafim. & C.M.Taylor,77164445-1,525311,Psychotria djumaensis De Wild.,Psychotria djumaensis De Wild.,Psychotria djumaensis De Wild.,P.,P. djumaensis,P. djumaensis De Wild.,P. djumaensis De Wild.,P. djumaensis De Wild.
809310,924476-1,Rubus preptanthus var. mairei,Rubus preptanthus var. mairei (H.Lév.) T.T.Yu & L.T.Lu,Rosaceae,Variety,Rubus preptanthus,Rubus preptanthus Focke,2985867,739318-1,Species,2983597,,Species,Synonym,Rosaceae,,Rubus,,mairei,,,,H.Lév.,,Bull. Géogr. Bot., 22: 232,(1912),,,,,Rubus mairei,H.Lév.,2985868,,,,,2983597-4,,N,Rubus preptanthus,Rubus preptanthus Focke,739318-1,2985867,Rubus mairei H.Lév.,Rubus mairei H.Lév.,Rubus mairei H.Lév.,R.,R. mairei,R. mairei H.Lév.,R. mairei H.Lév.,R. mairei H.Lév.
809986,944721-1,Eremanthus arboreus,Eremanthus arboreus (Gardner) MacLeish,Asteraceae,Species,Eremanthus,Eremanthus Less.,3134384,8810-1,Genus,3052663,257182-1,Species,Synonym,Asteraceae,,Vanillosmopsis,,capitata,,,,Sch.Bip.,,Jahresber. Pollichia, 20-21: 399,(1863),,,,,Vanillosmopsis capitata,Sch.Bip.,3052664,,,,,257182-1,,N,Eremanthus arboreus,Eremanthus arboreus (Gardner) MacLeish,944721-1,3052664,Vanillosmopsis capitata Sch.Bip.,Vanillosmopsis capitata Sch.Bip.,Vanillosmopsis capitata Sch.Bip.,V.,V. capitata,V. capitata Sch.Bip.,V. capitata Sch.Bip.,V. capitata Sch.Bip.
810816,77227983-1,Cerastium velutinum var. velutinum,Cerastium velutinum var. velutinum,Caryophyllaceae,Variety,Cerastium velutinum,Cerastium velutinum Raf.,2710992,305013-2,Species,2710667,152467-1,Species,Synonym,Caryophyllaceae,,Cerastium,,oblongifolium,,,,Torr.,,Fl. N. Middle United States, 1: 460,(1824),,,,,Cerastium oblongifolium,Torr.,3262719,,,,,152467-1,,N,Cerastium velutinum,Cerastium velutinum Raf.,305013-2,2710992,Cerastium oblongifolium Torr.,Cerastium oblongifolium Torr.,Cerastium oblongifolium Torr.,C.,C. oblongifolium,C. oblongifolium Torr.,C. oblongifolium Torr.,C. oblongifolium Torr.
811229,853345-1,Ficus pachyclada,Ficus pachyclada Baker,Moraceae,Species,Ficus,Ficus Tourn. ex L.,2809363,327905-2,Genus,2811596,853345-1,Species,Accepted,Moraceae,,Ficus,,pachyclada,,,,Baker,,"J. Linn. Soc., Bot.", 22: 522,(1887),,Madagascar,tree,seasonally dry tropical,Ficus pachyclada,Baker,2811596,,,,2809363,853345-1,,N,Ficus pachyclada,Ficus pachyclada Baker,853345-1,2811596,Ficus pachyclada Baker,Ficus pachyclada Baker,Ficus pachyclada Baker,F.,F. pachyclada,F. pachyclada Baker,F. pachyclada Baker,F. pachyclada Baker
812013,77167690-1,Betula pubescens var. pubescens,Betula pubescens var. pubescens,Betulaceae,Variety,Betula pubescens,Betula pubescens Ehrh.,21636,295185-1,Species,21339,77237204-1,Species,Synonym,Betulaceae,,Betula,,glauca,,,,Wender.,,Schriften Ges. Beförd. Gesammten Naturwiss. Marburg, 2: 263,(1831),,,,,Betula glauca,Wender.,21658,,,,,77237204-1,,Y,Betula pubescens,Betula pubescens Ehrh.,295185-1,21636,Betula glauca Wender.,Betula glauca Wender.,Betula glauca Wender.,B.,B. glauca,B. glauca Wender.,B. glauca Wender.,B. glauca Wender.
812015,77167690-1,Betula pubescens var. pubescens,Betula pubescens var. pubescens,Betulaceae,Variety,Betula pubescens,Betula pubescens Ehrh.,21636,295185-1,Species,21340,295093-1,Species,Synonym,Betulaceae,,Betula,,glauca,,,,Wender.,,Bot. Zeitung (Berlin), 4: 291,(1846),,,,,Betula glauca,Wender.,21658,,,,,295093-1,,Y,Betula pubescens,Betula pubescens Ehrh.,295185-1,21636,Betula glauca Wender.,Betula glauca Wender.,Betula glauca Wender.,B.,B. glauca,B. glauca Wender.,B. glauca Wender.,B. glauca Wender.
814387,1007571-1,Ridleyandra kiewii,Ridleyandra kiewii (Kiew) A.Weber,Gesneriaceae,Species,Ridleyandra,Ridleyandra A.Weber & B.L.Burtt,2426247,1007550-1,Genus,2767268,,Species,Synonym,Gesneriaceae,,Didissandra,,kiewii,,,,Kiew,,Malayan Nat. J., 41: 212,(1987),,,,wet tropical,Didissandra kiewii,Kiew,2426416,,,T,,2767268-4,,N,Ridleyandra kiewii,Ridleyandra kiewii (Kiew) A.Weber,1007571-1,2426416,Didissandra kiewii Kiew,Didissandra kiewii Kiew,Didissandra kiewii Kiew,D.,D. kiewii,D. kiewii Kiew,D. kiewii Kiew,D. kiewii Kiew
814474,655093-1,Pseuderia similis,Pseuderia similis (Schltr.) Schltr.,Orchidaceae,Species,Pseuderia,Pseuderia Schltr.,166132,30436-1,Genus,59089,628614-1,Species,Synonym,Orchidaceae,,Dendrobium,,simile,,,,Schltr.,K.M.Schumann & C.A.G.Lauterbach,Fl. Schutzgeb. Südsee,", Nachtr.: 175",(1905),,,,,Dendrobium simile,Schltr.,166147,,,T,,628614-1,,Y,Pseuderia similis,Pseuderia similis (Schltr.) Schltr.,655093-1,166147,Dendrobium simile Schltr.,Dendrobium simile Schltr.,Dendrobium simile Schltr.,D.,D. simile,D. simile Schltr.,D. simile Schltr.,D. simile Schltr.
814866,77062292-1,Anathallis dryadum,Anathallis dryadum (Schltr.) F.Barros,Orchidaceae,Species,Anathallis,Anathallis Barb.Rodr.,8716,30063051-2,Genus,159820,283308-2,Species,Synonym,Orchidaceae,,Pleurothallis,,dryadum,,,,Schltr.,,"Anexos Mem. Inst. Butantan, Secç. Bot.", 1(4): 45,(1922),,,epiphyte,seasonally dry tropical,Pleurothallis dryadum,Schltr.,219813,,,T,,283308-2,,Y,Anathallis dryadum,Anathallis dryadum (Schltr.) F.Barros,77062292-1,219813,Pleurothallis dryadum Schltr.,Pleurothallis dryadum Schltr.,Pleurothallis dryadum Schltr.,P.,P. dryadum,P. dryadum Schltr.,P. dryadum Schltr.,P. dryadum Schltr.
814963,77161802-1,Palicourea angustiflora,Palicourea angustiflora (K.Krause) Borhidi,Rubiaceae,Species,Palicourea,Palicourea Aubl.,145874,30000890-2,Genus,168856,762685-1,Species,Illegitimate,Rubiaceae,,Psychotria,,mima,,,,Standl.,,"Publ. Field Mus. Nat. Hist., Bot. Ser.", 22: 386,(1940),", nom. illeg.",,,,Psychotria mima,Standl.,526372,,,,,762685-1,,Y,Palicourea angustiflora,Palicourea angustiflora (K.Krause) Borhidi,77161802-1,526372,Psychotria mima Standl.,Psychotria mima Standl.,Psychotria mima Standl.,P.,P. mima,P. mima Standl.,P. mima Standl.,P. mima Standl.
814993,77201308-1,Coleus stuhlmannii,Coleus stuhlmannii (Gürke) A.J.Paton,Lamiaceae,Species,Coleus,Coleus Lour.,45838,20765-1,Genus,171158,455257-1,Species,Synonym,Lamiaceae,,Pycnostachys,,bequaertii,,,,De Wild.,,Contr. Fl. Katanga,: 171,(1921),,,,,Pycnostachys bequaertii,De Wild.,533220,,,,,455257-1,,Y,Coleus stuhlmannii,Coleus stuhlmannii (Gürke) A.J.Paton,77201308-1,533220,Pycnostachys bequaertii De Wild.,Pycnostachys bequaertii De Wild.,Pycnostachys bequaertii De Wild.,P.,P. bequaertii,P. bequaertii De Wild.,P. bequaertii De Wild.,P. bequaertii De Wild.
815766,441711-1,Tritonia laxifolia,Tritonia laxifolia (Klatt) Benth. & Hook.f. ex Baker,Iridaceae,Species,Tritonia,Tritonia Ker Gawl.,325235,20525-1,Genus,325432,77247536-1,Species,Illegitimate,Iridaceae,,Tritonia,,bakeri,,,,Klatt,T.A.Durand & H.Schinz,Consp. Fl. Afric., 5: 203,(1894),", nom. illeg.",,,,Tritonia bakeri,Klatt,325401,,,,,77247536-1,,Y,Tritonia laxifolia,Tritonia laxifolia (Klatt) Benth. & Hook.f. ex Baker,441711-1,325401,Tritonia bakeri Klatt,Tritonia bakeri Klatt,Tritonia bakeri Klatt,T.,T. bakeri,T. bakeri Klatt,T. bakeri Klatt,T. bakeri Klatt
815773,146353-1,Capparis chrysomeia,Capparis chrysomeia Bojer,Capparaceae,Species,Capparis,Capparis Tourn. ex L.,2696939,30001561-2,Genus,2697058,,Species,Illegitimate,Capparaceae,,Capparis,,chrysomeia,,,,Bojer,,"Ann. Sci. Nat., Bot.",", sér. 2, 10: 59",(1843),", nom. illeg.",,,desert or dry shrubland,Capparis chrysomeia,Bojer,2697057,,,,,2697058-4,,N,Capparis chrysomeia,Capparis chrysomeia Bojer,146353-1,2697057,Capparis chrysomeia Bojer,Capparis chrysomeia Bojer,Capparis chrysomeia Bojer,C.,C. chrysomeia,C. chrysomeia Bojer,C. chrysomeia Bojer,C. chrysomeia Bojer
816115,379715-1,Cyrtandra lysiosepala,Cyrtandra lysiosepala (A.Gray) C.B.Clarke,Gesneriaceae,Species,Cyrtandra,Cyrtandra J.R.Forst. & G.Forst.,2753014,16981-1,Genus,2753327,,Species,Illegitimate,Gesneriaceae,,Cyrtandra,,elliptica,,,,H.St.John,,Phytologia, 63: 497,(1987),", nom. illeg.",,,,Cyrtandra elliptica,H.St.John,2753667,,,,,2753327-4,,N,Cyrtandra lysiosepala,Cyrtandra lysiosepala (A.Gray) C.B.Clarke,379715-1,2753667,Cyrtandra elliptica H.St.John,Cyrtandra elliptica H.St.John,Cyrtandra elliptica H.St.John,C.,C. elliptica,C. elliptica H.St.John,C. elliptica H.St.John,C. elliptica H.St.John
816118,379715-1,Cyrtandra lysiosepala,Cyrtandra lysiosepala (A.Gray) C.B.Clarke,Gesneriaceae,Species,Cyrtandra,Cyrtandra J.R.Forst. & G.Forst.,2753014,16981-1,Genus,2753099,,Species,Synonym,Gesneriaceae,,Cyrtandra,,badia,,,,H.St.John,,Phytologia, 63: 495,(1987),,,,,Cyrtandra badia,H.St.John,2753667,,,,,2753099-4,,N,Cyrtandra lysiosepala,Cyrtandra lysiosepala (A.Gray) C.B.Clarke,379715-1,2753667,Cyrtandra badia H.St.John,Cyrtandra badia H.St.John,Cyrtandra badia H.St.John,C.,C. badia,C. badia H.St.John,C. badia H.St.John,C. badia H.St.John
816615,47568-1,Dicliptera japonica,Dicliptera japonica (Thunb.) Makino,Acanthaceae,Species,Dicliptera,Dicliptera Juss.,2766424,331554-2,Genus,2330960,50571-1,Species,Synonym,Acanthaceae,,Justicia,,crinita,,,,Thunb.,,Fl. Jap.,: 20,(1784),,,,,Justicia crinita,Thunb.,2766567,,,,,50571-1,,N,Dicliptera japonica,Dicliptera japonica (Thunb.) Makino,47568-1,2766567,Justicia crinita Thunb.,Justicia crinita Thunb.,Justicia crinita Thunb.,J.,J. crinita,J. crinita Thunb.,J. crinita Thunb.,J. crinita Thunb.
816903,360770-1,Carpanthea calendulacea,Carpanthea calendulacea (Haw.) L.Bolus,Aizoaceae,Species,Carpanthea,Carpanthea N.E.Br.,2701225,16121-1,Genus,2363059,362667-1,Species,Synonym,Aizoaceae,,Mesembryanthemum,,calendulaceum,,,,Haw.,,Misc. Nat.,: 47,(1803),,,,,Mesembryanthemum calendulaceum,Haw.,2701226,,,T,,362667-1,,N,Carpanthea calendulacea,Carpanthea calendulacea (Haw.) L.Bolus,360770-1,2701226,Mesembryanthemum calendulaceum Haw.,Mesembryanthemum calendulaceum Haw.,Mesembryanthemum calendulaceum Haw.,M.,M. calendulaceum,M. calendulaceum Haw.,M. calendulaceum Haw.,M. calendulaceum Haw.
817314,253111-1,Taraxacum crebridens,Taraxacum crebridens H.Lindb.,Asteraceae,Species,Taraxacum,Taraxacum F.H.Wigg.,3134293,328762-2,Genus,3058109,253112-1,Species,Synonym,Asteraceae,,Taraxacum,,crebridens,,,,H.Lindb.,,Exsicc. (Pl. Finland.), 21-42: 121,(1944),,,,,Taraxacum crebridens,H.Lindb.,3058110,,,,,253112-1,,N,Taraxacum crebridens,Taraxacum crebridens H.Lindb.,253111-1,3058110,Taraxacum crebridens H.Lindb.,Taraxacum crebridens H.Lindb.,Taraxacum crebridens H.Lindb.,T.,T. crebridens,T. crebridens H.Lindb.,T. crebridens H.Lindb.,T. crebridens H.Lindb.
818566,77231517-1,Crataegus × macrocarpa nothovar. macrocarpa,Crataegus × macrocarpa nothovar. macrocarpa,Rosaceae,nothovar.,Crataegus × macrocarpa,Crataegus × macrocarpa Hegetschw.,2946070,723748-1,Species,2947232,,Species,Synonym,Rosaceae,,Crataegus,×,schumacheri,,,,Raunk.,,Biol. Meddel. Kongel. Danske Vidensk. Selsk., 5: 68,(1925),,,,,Crataegus × schumacheri,Raunk.,3265861,,,,,2947232-4,,N,Crataegus × macrocarpa,Crataegus × macrocarpa Hegetschw.,723748-1,2946070,Crataegus × schumacheri Raunk.,Crataegus × schumacheri Raunk.,Crataegus × schumacheri Raunk.,C.,C. schumacheri,C. schumacheri Raunk.,C. schumacheri Raunk.,C. schumacheri Raunk.
818567,77231517-1,Crataegus × macrocarpa nothovar. macrocarpa,Crataegus × macrocarpa nothovar. macrocarpa,Rosaceae,nothovar.,Crataegus × macrocarpa,Crataegus × macrocarpa Hegetschw.,2946070,723748-1,Species,2947233,724214-1,Species,Synonym,Rosaceae,,Crataegus,×,schumacheri,,,,Raunk.,,Bot. Tidsskr., 42: 247,(1933),,,,,Crataegus × schumacheri,Raunk.,3265861,,,,,724214-1,,N,Crataegus × macrocarpa,Crataegus × macrocarpa Hegetschw.,723748-1,2946070,Crataegus × schumacheri Raunk.,Crataegus × schumacheri Raunk.,Crataegus × schumacheri Raunk.,C.,C. schumacheri,C. schumacheri Raunk.,C. schumacheri Raunk.,C. schumacheri Raunk.
819448,591309-1,Blepharocalyx salicifolius,Blepharocalyx salicifolius (Kunth) O.Berg,Myrtaceae,Species,Blepharocalyx,Blepharocalyx O.Berg,22379,326103-2,Genus,22385,273329-2,Species,Synonym,Myrtaceae,,Blepharocalyx,,angustifolius,,,,O.Berg,,Linnaea, 27: 421,(1856),,,,,Blepharocalyx angustifolius,O.Berg,22418,,,,,273329-2,,Y,Blepharocalyx salicifolius,Blepharocalyx salicifolius (Kunth) O.Berg,591309-1,22418,Blepharocalyx angustifolius O.Berg,Blepharocalyx angustifolius O.Berg,Blepharocalyx angustifolius O.Berg,B.,B. angustifolius,B. angustifolius O.Berg,B. angustifolius O.Berg,B. angustifolius O.Berg
819449,591309-1,Blepharocalyx salicifolius,Blepharocalyx salicifolius (Kunth) O.Berg,Myrtaceae,Species,Blepharocalyx,Blepharocalyx O.Berg,22379,326103-2,Genus,22386,77237561-1,Species,Illegitimate,Myrtaceae,,Blepharocalyx,,angustifolius,,,,O.Berg,C.F.P.von Martius & auct. suc. (eds.),Fl. Bras., 14(1): 421,(1857),", nom. illeg.",,,,Blepharocalyx angustifolius,O.Berg,22418,,,,,77237561-1,,Y,Blepharocalyx salicifolius,Blepharocalyx salicifolius (Kunth) O.Berg,591309-1,22418,Blepharocalyx angustifolius O.Berg,Blepharocalyx angustifolius O.Berg,Blepharocalyx angustifolius O.Berg,B.,B. angustifolius,B. angustifolius O.Berg,B. angustifolius O.Berg,B. angustifolius O.Berg
821733,87206-1,Homalomena havilandii,Homalomena havilandii Ridl.,Araceae,Species,Homalomena,Homalomena Schott,99893,30057762-2,Genus,100012,77241554-1,Species,Illegitimate,Araceae,,Homalomena,,multinervia,,,,Ridl.,,J. Straits Branch Roy. Asiat. Soc., 49: 49,(1907 publ. 1908),", nom. illeg.",,,,Homalomena multinervia,Ridl.,99962,,,,,77241554-1,,Y,Homalomena havilandii,Homalomena havilandii Ridl.,87206-1,99962,Homalomena multinervia Ridl.,Homalomena multinervia Ridl.,Homalomena multinervia Ridl.,H.,H. multinervia,H. multinervia Ridl.,H. multinervia Ridl.,H. multinervia Ridl.
821985,1093527-2,Specklinia purpurella,Specklinia purpurella (Luer) Pridgeon & M.W.Chase,Orchidaceae,Species,Specklinia,Specklinia Lindl.,193315,30078571-2,Genus,160771,1016929-1,Species,Illegitimate,Orchidaceae,,Pleurothallis,,purpurella,,,,Luer,,Orquideologia, 21: 335,(2000),", nom. illeg.",,,,Pleurothallis purpurella,Luer,266522,,,,,1016929-1,,Y,Specklinia purpurella,Specklinia purpurella (Luer) Pridgeon & M.W.Chase,1093527-2,266522,Pleurothallis purpurella Luer,Pleurothallis purpurella Luer,Pleurothallis purpurella Luer,P.,P. purpurella,P. purpurella Luer,P. purpurella Luer,P. purpurella Luer
821986,1093527-2,Specklinia purpurella,Specklinia purpurella (Luer) Pridgeon & M.W.Chase,Orchidaceae,Species,Specklinia,Specklinia Lindl.,193315,30078571-2,Genus,160772,319850-2,Species,Synonym,Orchidaceae,,Pleurothallis,,purpurella,,,,Luer,,Monogr. Syst. Bot. Missouri Bot. Gard., 76: 176,(1999),,,epiphyte,wet tropical,Pleurothallis purpurella,Luer,266522,,,T,,319850-2,,Y,Specklinia purpurella,Specklinia purpurella (Luer) Pridgeon & M.W.Chase,1093527-2,266522,Pleurothallis purpurella Luer,Pleurothallis purpurella Luer,Pleurothallis purpurella Luer,P.,P. purpurella,P. purpurella Luer,P. purpurella Luer,P. purpurella Luer
823266,568865-1,Gravesia minutidentata,Gravesia minutidentata H.Perrier,Melastomataceae,Species,Gravesia,Gravesia Naudin,3030744,26348-1,Genus,3028331,568864-1,Species,Synonym,Melastomataceae,,Gravesia,,minutidentata,,,,H.Perrier,,Mém. Acad. Malgache, 3: 53,(1927),,,,,Gravesia minutidentata,H.Perrier,3021928,,,,,568864-1,,N,Gravesia minutidentata,Gravesia minutidentata H.Perrier,568865-1,3021928,Gravesia minutidentata H.Perrier,Gravesia minutidentata H.Perrier,Gravesia minutidentata H.Perrier,G.,G. minutidentata,G. minutidentata H.Perrier,G. minutidentata H.Perrier,G. minutidentata H.Perrier
